"knockout","k","retained_nodes","efficiency_sum_before","efficiency_sum_after","D_E","LCC_after","D_LCC","components_after","disconnected_pair_fraction","in_strict","in_relax1"
"ABCG5+GCK+HNF4A",3,1223,262125.016668235,262033.795239662,0.000348007335325695,1223,0,1,0,FALSE,FALSE
"ABCG5+GCK+NR1H4",3,1223,262171.900001568,262062.454763472,0.000417456020631701,1223,0,1,0,FALSE,TRUE
"ABCG5+HNF4A+NCOA2",3,1223,262120.733334902,262071.616668235,0.000187381845162427,1223,0,1,0,FALSE,FALSE
"ABCG5+HNF4A+NR1I2",3,1223,262132.133334903,262062.300001568,0.000266405085277754,1223,0,1,0,FALSE,FALSE
"ABCG5+KCNJ11+NR1H4",3,1223,262164.450001568,261475.780953937,0.00262685901016502,1221,0.00163532297628777,2,0.00326796948289265,FALSE,TRUE
"ABCG5+LPL+NR1H4",3,1223,262134.700001568,261953.852382518,0.000689903393365832,1223,0,1,0,FALSE,TRUE
"ABCG5+NCOA2+RXRA",3,1223,262147.05000157,262085.250001568,0.00023574554816197,1223,0,1,0,FALSE,TRUE
"ABCG5+NR1H4+NR1I2",3,1223,262179.016668235,262084.559525377,0.000360277279465082,1223,0,1,0,TRUE,TRUE
"ABCG5+NR1H4+SQLE",3,1223,262224.316668233,262144.604763473,0.000303983649470818,1223,0,1,0,FALSE,TRUE
"ABCG5+NR1I2+RXRA",3,1223,262158.45000157,262081.300001567,0.000294287672214066,1223,0,1,0,FALSE,FALSE
"ABCG5+PLG+THBS1",3,1223,262119.600001571,261966.369049188,0.000584584107340302,1223,0,1,0,FALSE,FALSE
"ABL1+ACACA+CDK5",3,1223,262046.616668236,261901.621430137,0.000553318489444732,1223,0,1,0,FALSE,FALSE
"ABL1+ACACA+RARA",3,1223,262066.666668236,261965.992858709,0.000384153432433698,1223,0,1,0,FALSE,FALSE
"ABL1+ACTG1+CDK5",3,1223,262025.150001569,261900.354763471,0.000476271984187648,1223,0,1,0,FALSE,FALSE
"ABL1+ACTG1+ITGA5",3,1223,262054.033334902,261684.709525373,0.00140934220637545,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABL1+ACTG1+RARA",3,1223,262045.200001569,261964.726192043,0.000307098964323127,1223,0,1,0,FALSE,FALSE
"ABL1+ACTG1+TJP1",3,1223,262013.95000157,261893.77143014,0.000458672415835859,1223,0,1,0,FALSE,FALSE
"ABL1+ACTG1+YWHAZ",3,1223,262010.166668237,261889.576192044,0.000460251133481915,1223,0,1,0,FALSE,FALSE
"ABL1+ALDH1A1+NANOG",3,1223,262034.750001568,261803.388096801,0.00088294359723684,1223,0,1,0,FALSE,FALSE
"ABL1+ALDH1A1+NTRK1",3,1223,262031.016668235,261788.571430134,0.000925253968723116,1223,0,1,0,FALSE,FALSE
"ABL1+ALDH1A1+POU5F1",3,1223,262030.750001569,261800.404763468,0.000879077123962069,1223,0,1,0,FALSE,FALSE
"ABL1+ALDH1A1+RARA",3,1223,262046.116668236,261762.921430133,0.00108070763155543,1223,0,1,0,FALSE,FALSE
"ABL1+APOB+CALR",3,1223,261985.216668235,261874.188096805,0.000423797086118283,1223,0,1,0,FALSE,FALSE
"ABL1+APOB+CANX",3,1223,262024.100001568,261921.628572995,0.000391076349741892,1223,0,1,0,FALSE,FALSE
"ABL1+APOB+F2",3,1223,262005.233334901,261869.811906328,0.000516865357420349,1223,0,1,0,FALSE,FALSE
"ABL1+APOB+NTRK1",3,1223,261985.133334901,261876.678572995,0.000413972962990283,1223,0,1,0,FALSE,FALSE
"ABL1+APOB+NTRK2",3,1223,261983.666668234,261838.338096804,0.000554723785947786,1223,0,1,0,FALSE,FALSE
"ABL1+APOB+TFRC",3,1223,261999.566668235,261838.81428728,0.000613559720723744,1223,0,1,0,FALSE,FALSE
"ABL1+ATF4+BGLAP",3,1223,262021.450001569,261939.376192043,0.000313233170509575,1223,0,1,0,FALSE,FALSE
"ABL1+ATF4+CDK5",3,1223,261995.966668235,261855.471430137,0.000536249622026919,1223,0,1,0,FALSE,FALSE
"ABL1+ATF4+EIF2AK2",3,1223,262025.233334902,261946.00238252,0.000302379092936511,1223,0,1,0,FALSE,FALSE
"ABL1+ATF4+NTRK2",3,1223,261999.450001568,261904.685715852,0.00036169650629192,1223,0,1,0,FALSE,FALSE
"ABL1+ATF4+RARA",3,1223,262016.016668235,261920.092858709,0.000366099029922462,1223,0,1,0,FALSE,FALSE
"ABL1+ATF4+YWHAZ",3,1223,261980.983334903,261844.859525377,0.000519594238457821,1223,0,1,0,FALSE,FALSE
"ABL1+BAX+CDK5",3,1223,262005.350001569,261857.388096803,0.000564728562849948,1223,0,1,0,FALSE,FALSE
"ABL1+BAX+HK2",3,1223,262043.300001569,261911.911906328,0.000501398414840426,1223,0,1,0,FALSE,FALSE
