"gene","D_E"
"PNP",0.000150750695407598
"CYP11A1",2.18155172923007e-05
"AGXT",9.72339534535127e-05
"SHMT1",9.90777250677866e-05
"DLG2",0
"IL10",9.08570726735336e-05
"GP6",3.08177947093702e-05
"ATF4",8.14265537527614e-05
"CACNB1",0
"IL18",1.43113165873565e-05
"CASP6",4.68783795182226e-06
"IL6",0.000985299599163048
"MYC",0.000441188272058857
"SNCA",0.000665787884293612
"MYH6",2.49295135597016e-05
"POLA1",5.84439642903334e-06
"PRKDC",2.09467914480399e-06
"AKR1C2",5.3032881086601e-08
"PARK7",6.33511885954618e-05
"HSPA4",0.000817648828094986
"CHEK1",1.26014141930142e-05
"NOX4",4.0129540741507e-05
"COMT",0.000341695314248769
"SCN1A",7.17195195213405e-05
"SLC6A3",0.00028148662483185
"SCARB1",0.000325889333289808
"BID",6.67070553528326e-06
"HSPA5",0.000285264661422757
"CSF3",0.000102424873760665
"BGLAP",0.00010915282534163
"SCN2A",0.000108366696406015
"GSTM2",0
"RARB",1.37757884536294e-05
"ADK",7.0548498962264e-05
"PARP1",0.00014963827357628
"FDPS",1.24743699037033e-07
"MTTP",6.88210324495397e-06
"APRT",6.28055406558525e-05
"CD14",2.18485029135351e-06
"KIT",0.000220404819970987
"P2RX4",0
"DDC",6.92577358606394e-05
"ADH1B",1.93863551678497e-06
"ESR2",8.39849849820773e-05
"CLEC4E",0
"IGFBP3",2.70624548611709e-05
"CACNA1A",0.000237353406071894
"TRAF2",9.8942811690983e-05
"PLG",0.000432937389440058
"CYP17A1",6.08798862421489e-05
"MAPT",0.0004008946048778
"DDB1",3.02467313606503e-05
"GRIN3A",0
"FOXP3",3.45366287337612e-05
"APOA4",1.73762531908705e-05
"TP73",8.58743021803221e-07
"PTPN6",7.85389195345765e-07
"EGR1",4.81053914956897e-05
"CDT1",1.11978840918736e-05
"AHSP",7.31996354808029e-06
"PPARD",2.54452656101023e-05
"AHR",3.25462012090716e-05
"TUBA4A",0
"SOD1",0.000601364446850883
"GDNF",4.11429748925496e-06
"CHRNA4",0.000126261201165656
"CYP3A4",0.000663591434426736
"TOP1",9.06218701013373e-06
"PRKACA",0.00512002266725953
"MAPK3",0.000389229958906001
"ELK1",0
"CEBPB",0.000243676809415172
"MAPK14",5.22207125249752e-05
"SMAD3",0.000396641011288335
"SOCS3",8.30287939179719e-06
"SCN4B",1.31995438947818e-05
"KCNJ6",4.66657327243825e-05
"TUBA1C",0
"CXCL2",1.19944988163923e-07
"ACACB",4.55481174775896e-05
"MAPK8IP1",7.5480862430477e-05
"PPIF",5.18836499419084e-05
"CCL3",1.99975070274139e-05
"RXRA",0.00023245127364635
"FABP4",7.88287125790266e-05
"RRM2B",1.00321681807403e-05
"ACTR1A",0.00122087831312645
"RHOA",0.000162718454826738
"CYP11B1",1.74527054552787e-06
"FUS",1.11182941354704e-05
"SNAI1",9.56261942297587e-07
"PROC",4.27991524198923e-06
"CALM1",4.22690420557315e-05
"ABCA7",0
"ALOX5",0.000102574399066357
"ITGAL",4.19866127177038e-06
"CRH",1.20085198654918e-05
"CYP2E1",0.000611305576663557
"ARF1",2.80502707561414e-05
"YAP1",2.88703269321067e-05
"CYP1A1",0.00039020178207716
"GLUD1",0.000154428352899694
"ALAD",1.59565339439283e-05
"CEBPA",8.47135829380452e-05
"TP53",0.00557483329653041
"HTR2A",7.79817515379477e-05
"AKR1B1",4.9838574164629e-05
"KCNJ11",0.00228792240766151
"TRPA1",6.10550170365709e-05
"GPBAR1",0.00109859160628889
"CACNA2D2",0
"GOT1",5.97669094645203e-05
"CACNA2D4",0
"CNR1",0.000299508750560618
"EIF4G1",1.62973149263612e-05
"PRDX1",8.03138241267654e-06
"GABRB3",0.000209443445582713
"NR4A1",2.58314743326604e-05
"GCLM",8.81868910040939e-06
"NUF2",5.37967604308243e-06
"GABRB2",0
"NTRK1",6.4315259479919e-05
"PRKCI",3.27409985789728e-08
"ADH1A",8.25236919121952e-06
"ADH1C",1.47512060344468e-08
"HMOX1",0.000386392808785607
"HPRT1",0.000418691689059614
"HAMP",0.000137657860702745
"HNF1A",0.0012470112189028
"PCNA",0.000260582445491986
"CYP2C19",3.38707373899183e-05
"PENK",1.45653940575308e-07
"MMP10",7.76695228044133e-06
"DDIT3",1.46922302399766e-05
"ACTA2",4.55573974853518e-05
"FABP5",7.55852034993731e-05
"PTGIS",8.60158594262472e-06
"CYP19A1",0.000517522666668158
"IL4",0.000209402785617541
"GLI1",1.07741450471321e-05
"NR1I3",7.84535144948695e-06
"ALDH1A3",3.54944204650209e-06
"NFATC3",4.08854668942915e-06
"NR3C1",0.000140496183036798
"DPP4",0.0015210826080112
"KCNA1",1.17984263265924e-05
"DBH",8.60991038997838e-06
"LRAT",5.46164210361022e-05
