"anchor","pool_rank","gene","degree","betweenness_centrality","match_distance"
"LCN2",40,"AKR1C1",22,0.000821561751461643,0.249760524871817
"LCN2",41,"HSD3B2",28,0.000943768262515125,0.252651380804964
"LCN2",42,"GLUD1",21,0.00164606672691976,0.254018863275694
"LCN2",43,"RASA1",19,0.000904333769551579,0.256352191170092
"LCN2",44,"CPT1A",21,0.0008285764234752,0.256660453497618
"LCN2",45,"CYP2C19",27,0.000851212365603615,0.263544767987096
"LCN2",46,"CTSD",18,0.00137386322798733,0.26357934145835
"LCN2",47,"SCN1A",19,0.00154119273288404,0.264082402942485
"LCN2",48,"AKR1D1",19,0.00155306314517278,0.270045265954792
"LCN2",49,"PPARD",20,0.000832974191479721,0.270168570671205
"LCN2",50,"AURKA",30,0.00107601295852334,0.271206221233082
"LTF",1,"AURKB",25,0.00134984802029046,0.0416945862010774
"LTF",2,"GRIA2",25,0.00129746001101539,0.0480953506150957
"LTF",3,"BTK",24,0.00122624157395133,0.0734576201554998
"LTF",4,"CYP17A1",26,0.0013365710182806,0.0801568821717983
"LTF",5,"ALDH3A1",22,0.00127692478916539,0.0942418576892554
"LTF",6,"CYP2D6",22,0.0012746131647984,0.0953784531633748
"LTF",7,"NOS2",22,0.00126054085987649,0.0978569680099294
"LTF",8,"ACACA",24,0.00111117386542638,0.121487602564865
"LTF",9,"RYR2",24,0.00159959744367969,0.129963481813576
"LTF",10,"BAX",23,0.00110946991648584,0.131374114253912
"LTF",11,"EIF2AK2",21,0.00133218657035178,0.133178905185178
"LTF",12,"SLC6A4",22,0.00116527835440725,0.135868557605824
"LTF",13,"NPPA",21,0.00144915682394271,0.139644924319769
"LTF",14,"AGTR1",22,0.00113717649315333,0.140262509811215
"LTF",15,"KEAP1",24,0.00162895944064813,0.144089947228096
"LTF",16,"ACSL1",21,0.00124272079667733,0.148078757131408
"LTF",17,"PRKCZ",22,0.00157475283414893,0.149304252544772
"LTF",18,"ADH5",21,0.00152470146945021,0.164110354649794
"LTF",19,"ITGA5",23,0.00165247779668056,0.166552973118619
"LTF",20,"DLG1",22,0.00104590411545439,0.175524510139028
"LTF",21,"GOT1",20,0.00125662854037479,0.189253349409063
"LTF",22,"RYR1",29,0.00133225121132037,0.189795575769552
"LTF",23,"CALR",26,0.0010134548564031,0.190050548790356
"LTF",24,"GLUD1",21,0.00164606672691976,0.204575393682441
"LTF",25,"ITPR3",27,0.00167811124851176,0.20884671739975
"LTF",26,"C3",28,0.00105090286925624,0.213190923143167
"LTF",27,"BGLAP",24,0.00180657128946621,0.2203728604665
"LTF",28,"CYP11B2",22,0.00177883032500487,0.223763486125265
"LTF",29,"F3",30,0.00142690829110038,0.226051316107708
"LTF",30,"CACNA1B",24,0.000948211355508168,0.228848739715211
"LTF",31,"VIM",27,0.000972047644247074,0.235148949557399
"LTF",32,"SREBF2",26,0.00181832205933908,0.237138270269398
"LTF",33,"ALDH2",23,0.00184765428231664,0.238317845975326
"LTF",34,"ALDH1B1",20,0.00102094216094316,0.242630702515118
"LTF",35,"EIF2S1",19,0.00120861354529008,0.245367612547777
"LTF",36,"CTSK",20,0.00168131189069063,0.252228299364962
"LTF",37,"SCN1A",19,0.00154119273288404,0.253559052612206
"LTF",38,"AKR1D1",19,0.00155306314517278,0.25707626570255
"LTF",39,"ACE2",24,0.000897452402917475,0.257101670544249
"LTF",40,"NDUFS3",19,0.00112026181937943,0.258299838534421
"LTF",41,"TNFSF11",31,0.00142438564965395,0.258499890759114
"LTF",42,"AURKA",30,0.00107601295852334,0.260319419657878
"LTF",43,"SOX9",19,0.00160658959044842,0.27039344236012
"LTF",44,"THBS1",31,0.00120035388474206,0.270569803056285
"LTF",45,"GRIA1",27,0.000936564190781049,0.272640365084142
"LTF",46,"NFATC1",27,0.000920848444182727,0.275190239378084
"LTF",47,"FABP4",22,0.000894509785022577,0.276715143527098
"LTF",48,"AKR1C3",30,0.00167067766207893,0.279140935171625
"LTF",49,"CALM2",26,0.000888264500446232,0.280102176968237
"LTF",50,"PARK7",26,0.000876730084214591,0.2828106172232
