"sampled_set","D_E","Syn_Bliss","Syn_add","iteration"
"CD163+CYP2D6",0.000103381617872822,1.76044811839304e-07,1.73803285763441e-07,159
"INSR+OPRM1",6.54749594344306e-05,1.11818585168955e-07,1.10764531102703e-07,160
"FURIN+NOX4",9.64750664166347e-05,1.67401345896323e-07,1.65855008948945e-07,161
"NTRK1+RYR2",0.000102824487788533,1.77343128182628e-07,1.75239498578783e-07,162
"LYN+NPPA",9.85410048849333e-05,1.72804494713574e-07,1.70769828500283e-07,163
"CCNA2+PROM1",9.91851276268552e-05,1.73294623762033e-07,1.7226645021573e-07,164
"NCF1+RXRA",6.61193728620502e-05,1.12762432169511e-07,1.11867238583585e-07,165
"CYP7A1+XBP1",6.0750258395359e-05,1.03091944425593e-07,1.02346092600847e-07,166
"ADRB2+RXRA",9.91851915048692e-05,1.73469762443368e-07,1.71025431483507e-07,167
"AFP+CD163",6.97690584100519e-05,1.19563303924153e-07,1.18364564483109e-07,168
"ADRB2+POU5F1",8.13716573367929e-05,1.44864408246903e-07,1.43346366110464e-07,169
"INSR+YWHAE",8.17915237554256e-05,1.40429987527391e-07,1.38904681423746e-07,170
"ACACA+C3",8.9300905713019e-05,1.51603346210116e-07,1.49631244061865e-07,171
"MAPK9+SOX9",5.49591816439987e-05,9.51662434411915e-08,9.44192690699452e-08,172
"CYP7A1+PRKCB",7.40592956102182e-05,1.25582118370993e-07,1.24258235034702e-07,173
"ATF6+SYP",8.00744430445866e-05,1.37927981702646e-07,1.36330744138213e-07,174
"C3+NR1I2",5.98905561264296e-05,1.00729010021894e-07,9.99524006894958e-08,175
"AFP+BGLAP",8.62970872982372e-05,1.47376364556528e-07,1.45541092844148e-07,176
"FOXM1+NOX4",6.61211187813482e-05,1.14510403159684e-07,1.13581014260511e-07,177
"CD163+SLC6A4",6.91236117814631e-05,1.17805759924927e-07,1.16627023705185e-07,178
"PRKDC+UGT1A1",9.72352060021331e-05,1.61230974016213e-07,1.58875950839743e-07,179
"ACE2+FABP4",6.56921557433687e-05,1.12746368907679e-07,1.11772651911757e-07,180
"BMP4+UGT1A1",7.5132602606609e-05,1.27936310212462e-07,1.2667383120224e-07,181
"NOX4+SYP",6.09712845882626e-05,1.06301789482011e-07,1.05477087286587e-07,182
"CCNB1+PRDX1",3.69245507342297e-05,6.41706198178937e-08,6.40559798537055e-08,183
"CACNA1D+SYP",6.79605590082621e-05,1.12928878026608e-07,1.11821327974937e-07,184
"SOX9+UGT1A1",7.94287927777804e-05,1.36994158350667e-07,1.35519444222076e-07,185
"NOS1+SREBF2",4.12173775719005e-05,6.93620466618583e-08,6.90879902176533e-08,186
"INSR+LPL",7.94278720207542e-05,5.64153082693863e-07,5.62708422524594e-07,187
"BACE1+CCNA2",9.72515509471972e-05,1.69734930333121e-07,1.68729507254994e-07,188
"GDNF+PTK2B",9.29512591519854e-05,1.58553522422444e-07,1.56404945106381e-07,189
"DPP4+HDAC4",8.88791107570563e-05,1.55059063922103e-07,1.53192435736749e-07,190
"NTRK1+UGT1A1",7.79255338481111e-05,1.34106412308377e-07,1.32705974320579e-07,191
"ADRB2+NTRK1",8.00811133662149e-05,-2.87635130713504e-07,-2.89108483597644e-07,192
"DDIT3+FOXM1",6.67607556873451e-05,1.12604797375404e-07,1.11646122458176e-07,193
"LYN+SIRT3",6.18286014972824e-05,1.07149780381732e-07,1.06199017912978e-07,194
"PTK2+SCD",6.24703560984097e-05,1.07929270076745e-07,1.07153990680509e-07,195
"CYP2C19+XBP1",2.70462390240533e-05,4.43446189768437e-08,4.41756180524777e-08,196
"HDAC4+NOS1",8.73755172595692e-05,1.519182671883e-07,1.50133320442336e-07,197
"NCF1+NTRK1",4.74446504505899e-05,8.16286404026201e-08,8.10890506963702e-08,198
"MAPK9+NR1I2",4.42216341931534e-05,7.48232648062341e-08,7.43450222495667e-08,199
"PRKCB+SYP",7.105873479063e-05,1.22446020767164e-07,1.21213357573424e-07,200
"MAP3K5+NCF1",4.67993595999472e-05,8.00179877913365e-08,7.94906754864044e-08,201
"AURKA+BACE1",0.00010840647335808,1.82822597727395e-07,1.80866747800934e-07,202
"ATF6+NOS2",7.90025515694515e-05,1.36827522090321e-07,1.35272510193296e-07,203
"SOX9+TFAM",8.78059366025141e-05,1.53554222670493e-07,1.5183043444722e-07,204
"CDH5+YWHAE",0.00010446387939067,1.81681426680846e-07,1.78962925367898e-07,205
"ATF6+PTGS1",0.000176880005853697,3.01640824762472e-07,2.96232606888935e-07,206
"DDIT3+F2",6.37545587754973e-05,1.07233554480501e-07,1.06337903482689e-07,207
"SIRT3+XBP1",4.93745913711097e-05,8.41557118436143e-08,8.360457204315e-08,208
"DPP4+MAPK9",5.94670285805066e-05,1.02691217529483e-07,1.01831398424679e-07,209
"BACE1+MAPK9",0.000110556696112818,1.89399152361602e-07,1.87260444040049e-07,210
"F2+THBS1",7.49234063864845e-05,-2.98663427211743e-07,-3.00052721002864e-07,211
"LYN+SYP",7.02036511311954e-05,1.23037092403244e-07,1.21839090261311e-07,212
"ATF6+DPP4",7.38500210014648e-05,1.27848773900929e-07,1.26496593089165e-07,213
"NTRK1+TYR",8.6945854889442e-05,1.51410326498791e-07,1.49755184697398e-07,214
"ATF6+VTN",4.89445536386857e-05,8.28827735332993e-08,8.2510943189007e-08,215
"DRD1+PRKDC",8.28531108399977e-05,1.36683608764621e-07,1.35011658963791e-07,216
"LYN+NPPA",9.85410048849333e-05,1.72804494713574e-07,1.70769828500283e-07,217
"CYP2C19+FABP4",3.26266837257227e-05,5.3153623724711e-08,5.29297011775398e-08,218
"LPL+POU5F1",7.92192222148769e-05,1.38993783038721e-07,1.37538311184571e-07,219
"F2+MAP1LC3B",0.00011562213963523,1.97908613386311e-07,1.94804766984191e-07,220
"AFP+VIM",6.76257152418813e-05,1.17788135023389e-07,1.1667201127441e-07,221
"LPL+XBP1",6.71919603905113e-05,1.1457608339871e-07,1.13719984984328e-07,222
"CCNA2+CYP7A1",5.53860770241554e-05,9.59030325153876e-08,9.53902367095694e-08,223
"FABP4+NOS1",5.56015037213031e-05,9.52839007695161e-08,9.45390163931137e-08,224
"CD163+HDAC4",8.56553592459841e-05,1.47181148713038e-07,1.45489585823277e-07,225
"CRH+PARK7",0.000151129865337607,2.57209799126024e-07,2.53991128462694e-07,226
