gene1,gene2,gene3
CS,MB,MT-CYB
CS,MDH2,MGLL
CS,MDH2,STAT4
CTSK,ESRRA,TNFSF11
CTSK,FGF23,TNFSF11
CTSK,HCRT,TNFSF11
CTSK,ITPR1,ITPR3
CTSK,SOX9,TNFSF11
CYP11B2,CYP19A1,CYP51A1
CYP11B2,CYP19A1,NPPA
CYP11B2,CYP19A1,OPRM1
CYP11B2,CYP19A1,SQLE
CYP11B2,CYP51A1,SQLE
CYP11B2,DRD1,NPPA
CYP19A1,CYP51A1,SQLE
CYP51A1,DGAT1,FASN
CYP51A1,DGAT1,SQLE
CYP51A1,DRD2,SQLE
CYP51A1,HNF4A,SQLE
CYP51A1,ITPR1,ITPR3
CYP51A1,ITPR1,SQLE
CYP51A1,ITPR3,SQLE
CYP51A1,KCNH2,SQLE
CYP51A1,OPRM1,SQLE
CYP7A1,PLA2G2A,PLA2G4A
CYP7A1,PLA2G2A,PLA2G7
DLG1,GRM5,HTR2A
DLG1,GSR,PRDX1
DRD1,GCK,NPPA
DRD1,GRM5,HTR2A
DRD1,GRM5,NPPA
DRD1,GRM5,SLC6A3
DRD1,HTR2A,HTR3A
DRD1,HTR3A,SLC6A3
DRD1,KCNJ11,NPPA
DRD1,NPPA,NR1H4
DRD1,RASA1,SLC6A3
DRD2,GOT1,SLC6A3
DRD2,GRM5,SLC6A3
DRD2,HTR2A,KCNH2
DRD2,HTR2A,MGLL
DRD2,HTR2A,TRPV1
DRD2,HTR3A,SLC6A3
DRD2,ITPR1,ITPR3
DRD2,OPRM1,TRPV1
DUOX2,MB,RAC2
DUOX2,NCF2,NOS2
DUOX2,NCF2,PLA2G4A
DUOX2,NCF2,PLD2
DUOX2,NOS2,RAC2
DUOX2,PLA2G4A,PLD2
DUOX2,PLA2G4A,RAC2
EGR1,PLA2G2A,PLA2G4A
EIF2AK2,EIF2S1,MAP3K5
EIF2AK2,EIF2S1,NOS2
EIF2AK2,EIF2S1,VIM
EIF2AK2,FURIN,NRP1
EIF2AK2,GSR,NQO1
EIF2AK2,GSR,PRDX1
EIF2AK2,ITPR1,ITPR3
EIF2AK2,KEAP1,NQO1
EIF2AK2,NANOG,POU5F1
EIF2AK2,PRDX1,SOD2
EIF2AK2,SIRT3,SOD2
EIF2S1,ITPR1,ITPR3
EPOR,FURIN,NRP1
ESRRA,FABP4,FASN
ESRRA,FABP4,LPL
ESRRA,ITPR1,ITPR3
ESRRA,KCNJ11,NCOA2
ESRRA,MB,MT-CYB
ESRRA,RARA,RXRA
FABP4,FASN,MDH2
FABP4,FASN,SIRT3
FABP4,GOT1,MDH2
FABP4,LPL,NR1I2
FABP4,LPL,SIRT3
FABP4,LPL,SOX9
FABP4,MGLL,TRPV1
FASN,GOT1,MDH2
FGF23,FURIN,NRP1
FGF23,ITGA5,THBS1
FGF23,NCOA2,RXRA
FKBP1A,HTR2A,HTR3A
FURIN,ITGA5,NRP1
FURIN,NANOG,POU5F1
FURIN,NOS2,NRP1
FURIN,NRP1,STAT4
GABRA1,GATM,GLUL
GATM,GLUL,TYMS
GATM,ITPR1,ITPR3
GCK,HK2,MDH2
GCK,HK2,POU5F1
GCK,HK2,SIRT3
GCK,HK2,SOD2
GCK,HK2,TPH1
GCK,NANOG,POU5F1
GCK,NTRK2,PYGM
GCK,SIRT3,SOD2
GJA1,PLA2G2A,PLA2G4A
GJA1,PLA2G2A,PLD2
GJA1,PLA2G4A,PLD2
GLUL,GOT1,TH
GLUL,MAOA,MAOB
GOT1,HPRT1,MDH2
GOT1,MAOA,MAOB
GOT1,TH,TPH1
GRIN2A,GRM5,PYGM
GRM5,HTR2A,TRPV1
GRM5,MAOA,MAOB
GSR,HPRT1,NQO1
GSR,HPRT1,PNP
GSR,KEAP1,RRM1
GSR,NOS2,PRDX1
GSR,NQO1,OPRM1
GSR,NQO1,PNP
GSR,NQO1,RASA1
GSR,NQO1,RRM1
GSR,PNP,SIRT3
GSR,PNP,SOD2
GSR,PRDX1,RRM1
GSR,PRDX1,STAT4
HCRT,NTRK1,NTRK2
HDAC6,HPRT1,PNP
HDAC6,PLA2G2A,PLD2
